date,cost
19/12/2020,900
19/12/2020,1254.4
19/12/2020,108.8
19/12/2020,918
19/12/2020,793.6
19/12/2020,237.6
19/12/2020,666
19/12/2020,281.6
20/12/2020,76.8
20/12/2020,414
20/12/2020,409.6
20/12/2020,504
20/12/2020,563.2
20/12/2020,358.4
20/12/2020,122.4
20/12/2020,512
20/12/2020,422.4
20/12/2020,536.4
20/12/2020,1062
20/12/2020,157.4
20/12/2020,947.2
20/12/2020,810
20/12/2020,46
20/12/2020,140.8
20/12/2020,198
20/12/2020,128
20/12/2020,140.8
