date,transactions,revenue,black Friday
6/23/2020,133,40837.28,0
6/24/2020,136,43528.52,0
6/25/2020,120,41125.82,0
6/26/2020,151,41200.48,0
6/27/2020,160,49900.73,0
6/28/2020,209,64846.58,0
6/29/2020,208,63105.86,0
6/30/2020,142,44988.94,0
7/1/2020,179,56265.96,0
7/2/2020,173,57773.24,0
7/3/2020,142,44905.59,0
7/4/2020,150,48892.73,0
7/5/2020,187,59182.47,0
7/6/2020,220,65824.56,0
7/7/2020,128,39113.51,0
7/8/2020,143,43155.47,0
7/9/2020,124,41229.94,0
7/10/2020,141,47224.38,0
7/11/2020,127,36511.55,0
7/12/2020,123,37954.25,0
7/13/2020,135,45283.26,0
7/14/2020,151,48847.05,0
7/15/2020,254,80798.44,0
7/16/2020,163,52077.95,0
7/17/2020,140,43929.43,0
7/18/2020,146,45093.24,0
7/19/2020,141,40287.31,0
7/20/2020,144,42956.58,0
7/21/2020,138,43918.22,0
7/22/2020,156,48582.08,0
7/23/2020,140,44247.08,0
7/24/2020,163,51996.93,0
7/25/2020,150,45260.08,0
7/26/2020,154,51863.31,0
7/27/2020,164,51835.57,0
7/28/2020,164,52896.74,0
7/29/2020,145,52053.6,0
7/30/2020,132,42923.79,0
7/31/2020,212,63478.64,0
8/1/2020,141,45612.16,0
8/2/2020,203,62658.26,0
8/3/2020,247,83138.67,0
8/4/2020,207,66604.36,0
8/5/2020,189,59749.9,0
8/6/2020,176,58440.37,0
8/7/2020,166,49378.44,0
8/8/2020,148,46818.72,0
8/9/2020,209,66229.08,0
8/10/2020,246,80693.8,0
8/11/2020,233,75346.6,0
8/12/2020,202,67974.77,0
8/13/2020,169,58292.93,0
8/14/2020,163,51623.51,0
8/15/2020,121,34042.18,0
8/16/2020,148,48120.45,0
8/17/2020,200,68390.76,0
8/18/2020,127,47320.26,0
8/19/2020,145,50712.72,0
8/20/2020,122,43226.44,0
8/21/2020,128,47066.09,0
8/22/2020,132,46137.53,0
8/23/2020,156,53568.41,0
8/24/2020,200,76107.24,0
8/25/2020,144,49447.13,0
8/26/2020,191,67911.88,0
8/27/2020,142,47053.04,0
8/28/2020,106,40927.13,0
8/29/2020,129,48912.5,0
8/30/2020,161,53970.39,0
8/31/2020,222,75576.59,0
9/1/2020,166,54958.6,0
9/2/2020,171,59761.69,0
9/3/2020,138,47015.64,0
9/4/2020,130,47853.85,0
9/5/2020,124,43606.73,0
9/6/2020,178,62417.86,0
9/7/2020,163,57876.76,0
9/8/2020,169,65548.28,0
9/9/2020,168,56336.09,0
9/10/2020,181,59030.71,0
9/11/2020,116,40026.31,0
9/12/2020,158,56368.02,0
9/13/2020,186,58455.07,0
9/14/2020,154,52696.19,0
9/15/2020,125,45964.64,0
9/16/2020,144,50561.75,0
9/17/2020,120,47608.67,0
9/18/2020,138,49317.84,0
9/19/2020,139,48141.49,0
9/20/2020,164,56792.58,0
9/21/2020,168,61059.52,0
9/22/2020,127,45920.22,0
9/23/2020,140,46764.16,0
9/24/2020,138,45504.64,0
9/25/2020,162,52382.76,0
9/26/2020,174,56158.13,0
9/27/2020,212,69178.13,0
9/28/2020,231,80115.63,0
9/29/2020,228,82166.74,0
9/30/2020,163,63545.9,0
10/1/2020,133,51510.23,0
10/2/2020,103,40745.36,0
10/3/2020,139,47556.03,0
10/4/2020,188,66937.71,0
10/5/2020,173,69508.68,0
10/6/2020,144,54520.87,0
10/7/2020,160,56062.56,0
10/8/2020,132,118492.92,0
10/9/2020,119,38477.72,0
10/10/2020,151,52008.85,0
10/11/2020,185,61475.72,0
10/12/2020,177,63785.99,0
10/13/2020,126,46417.18,0
10/14/2020,116,39537.24,0
10/15/2020,114,35966.68,0
10/16/2020,98,34556.02,0
10/17/2020,128,42362.31,0
10/18/2020,153,51454.72,0
10/19/2020,150,47057.8,0
10/20/2020,137,47190.25,0
10/21/2020,121,40407.65,0
10/22/2020,100,32972.23,0
10/23/2020,116,40450.89,0
10/24/2020,114,41373.51,0
10/25/2020,145,46290.54,0
10/26/2020,186,60614.63,0
10/27/2020,175,59979.39,0
10/28/2020,164,57613.44,0
10/29/2020,140,46496.46,0
10/30/2020,196,71502.5,0
10/31/2020,201,70287.44,0
11/1/2020,302,100444.41,0
11/2/2020,213,76705.42,0
11/3/2020,181,65148.84,0
11/4/2020,210,75063.58,0
11/5/2020,197,67044.39,0
11/6/2020,220,81021.64,0
11/7/2020,277,100931.7,0
11/8/2020,367,125042.7,0
11/9/2020,255,86353.05,0
11/10/2020,149,52153.36,1
11/11/2020,253,91179.49,1
11/12/2020,169,63928.73,1
11/13/2020,179,62728.72,1
11/14/2020,239,84593.69,1
11/15/2020,303,102284.92,1
11/16/2020,190,70245.11,1
11/17/2020,171,55407.7,1
11/18/2020,180,58646.48,1
11/19/2020,171,56285.12,1
11/20/2020,185,59155.04,1
11/21/2020,249,80847.82,1
11/22/2020,397,127686.98,1
11/23/2020,278,93166.05,1
11/24/2020,207,77722.99,1
11/25/2020,283,93353.76,1
11/26/2020,314,109031.31,1
11/27/2020,602,211962.08,1
11/28/2020,555,196321.38,1
11/29/2020,763,262487.91,1
11/30/2020,402,143029.3,1
12/1/2020,328,117879.03,1
12/2/2020,390,137988.28,1
12/3/2020,547,214045.45,1
12/4/2020,1273,440425.76,1
12/5/2020,640,226134.56,1
12/6/2020,928,327465.75,1
12/7/2020,486,169200.13,1
12/8/2020,399,146386.81,0
12/9/2020,247,88979.19,0
12/10/2020,305,114510.2,0
12/11/2020,233,82085.03,0
12/12/2020,382,143677.21,0
12/13/2020,506,188193.82,0
12/14/2020,408,149632.1,0
12/15/2020,321,121244.73,0
12/16/2020,317,114168.06,0
12/17/2020,236,87734.3,0
12/18/2020,245,92699.02,0
12/19/2020,303,107023.06,0
12/20/2020,293,107761.69,0
12/21/2020,251,88881.74,0
12/22/2020,182,65892.55,0
12/23/2020,158,52648.64,0
12/24/2020,112,38396.15,0
12/25/2020,224,83701.92,0
12/26/2020,224,82678.04,0
12/27/2020,280,97894.32,0
12/28/2020,225,80375.49,0
12/29/2020,191,73445.42,0
12/30/2020,205,79934.28,0
12/31/2020,136,53383.81,0
1/1/2021,188,71085.13,0
1/2/2021,180,72755.25,0
1/3/2021,245,87258.77,0
1/4/2021,260,91101.75,0
1/5/2021,214,78337.53,0
1/6/2021,227,76668.81,0
1/7/2021,171,60718.39,0
1/8/2021,181,66318.82,0
1/9/2021,183,67163.24,0
1/10/2021,184,63424.35,0
1/11/2021,183,65121.13,0
1/12/2021,179,63497.5,0
1/13/2021,169,61546.24,0
1/14/2021,156,55053.81,0
1/15/2021,168,56477.75,0
1/16/2021,168,55271.46,0
1/17/2021,143,51545.63,0
1/18/2021,157,54779.48,0
1/19/2021,148,50992.76,0
