date,google,meta
4/28/2021,5262.7,274.837483
4/29/2021,5273.14,273.85
4/30/2021,5225.09,269.16
5/1/2021,6631.33,276.17
5/2/2021,6065.03,276.37
5/3/2021,5036.38,271.05
5/4/2021,4658.23,273.31
5/5/2021,5974.73,278.45
5/6/2021,5343.71,271.19
5/7/2021,4846.56,271.62
5/8/2021,4601.56,283.01
5/9/2021,4916.7,276.9
5/10/2021,3907.89,269.572842
5/11/2021,3398.67,271.358718
5/12/2021,3634.07,270.35
5/13/2021,4782.11,275
5/14/2021,4817.64,273.525878
5/15/2021,4977.01,288.39
5/16/2021,5186.59,276.26
5/17/2021,4390.56,271.67
5/18/2021,4362.68,275.16
5/19/2021,4904.97,264.25
5/20/2021,4301.75,268.87
5/21/2021,4550.32,276.78
5/22/2021,5764.94,291.99
5/23/2021,4261.46,270.47
5/24/2021,5909.24,273.17
5/25/2021,5189.9,273.158716
5/26/2021,5060.16,278.46
5/27/2021,4426.52,273.97873
5/28/2021,4672.05,270.96
5/29/2021,4909.02,284.8
5/30/2021,5670.59,278.36
5/31/2021,5918.89,275.861269
6/1/2021,5642.06,276.99
6/2/2021,6707.2,274.692384
6/3/2021,6800.65,272.372973
6/4/2021,5874.2,269.640877
6/5/2021,5870.92,276.990524
6/6/2021,6708.75,277.597223
6/7/2021,6303.91,276.776823
6/8/2021,5561.67,269.3116
6/9/2021,5995.49,271.098703
6/10/2021,5696.59,276.017434
6/11/2021,4941.41,271.74
6/12/2021,5397.39,282.4
6/13/2021,6269.18,271.68
6/14/2021,7664.39,265.89
6/15/2021,7301.88,279.8
6/16/2021,7808.89,278.89
6/17/2021,6666.87,272.09
6/18/2021,6231.09,274.511253
6/19/2021,6425.76,282.13
6/20/2021,7177.56,276.98
6/21/2021,6765.4,270.01
6/22/2021,6681.9,276.14
6/23/2021,7107.18,274.59
6/24/2021,6974.19,274.01
6/25/2021,7142.74,263.42
6/26/2021,7251.61,289.851493
6/27/2021,7540.83,277.89
6/28/2021,8229.67,276.927065
6/29/2021,9018.2,273.56
6/30/2021,10328.12,311.74
7/1/2021,8647.36,331.32
7/2/2021,7834.56,320.96
7/3/2021,8518.81,334.367155
7/4/2021,8917.11,337.8
7/5/2021,7806.9,330.04
7/6/2021,7905.66,340.14
7/7/2021,8146.74,337.12
7/8/2021,7663.62,325.038601
7/9/2021,6269.1,328.077155
7/10/2021,6416.61,346.73
7/11/2021,6944.59,339.07
7/12/2021,7361.24,336.53
7/13/2021,6105.99,334.261397
7/14/2021,6242.59,323.17
7/15/2021,5539.05,312.822661
7/16/2021,6099.54,321.48
7/17/2021,6188.71,342.35
7/18/2021,6162.53,328.06
7/19/2021,6251.41,320.71
7/20/2021,5763.83,326.15
7/21/2021,5983.81,326.255753
7/22/2021,5753.99,318.21
7/23/2021,5800.03,315.62
7/24/2021,4607.46,339.98
7/25/2021,5037.46,325.79
7/26/2021,6486.25,322.09
7/27/2021,6144.95,326.101446
7/28/2021,6251.77,322.18
7/29/2021,6625.59,320.979013
